N,P,K,temperature,humidity,ph,rainfall,label
38.00,72.00,21.00,28.23,49.44,5.90,186.50,pigeonpeas
9.00,66.00,21.00,30.12,34.13,5.72,157.09,pigeonpeas
34.00,56.00,17.00,33.41,35.43,4.55,139.67,pigeonpeas
1.00,76.00,19.00,24.19,46.69,6.67,177.34,pigeonpeas
6.00,69.00,19.00,26.89,41.70,4.75,94.47,pigeonpeas
26.00,73.00,21.00,31.33,57.97,4.95,161.78,pigeonpeas
27.00,61.00,18.00,33.31,67.08,5.27,108.51,pigeonpeas
27.00,71.00,23.00,23.45,46.49,7.11,150.87,pigeonpeas
36.00,61.00,21.00,34.54,39.04,5.62,168.59,pigeonpeas
17.00,73.00,18.00,19.50,34.51,5.63,197.38,pigeonpeas
26.00,72.00,22.00,28.77,37.58,4.67,91.72,pigeonpeas
17.00,64.00,16.00,30.98,32.25,7.16,180.72,pigeonpeas
14.00,74.00,19.00,18.40,36.83,6.62,93.12,pigeonpeas
39.00,60.00,15.00,35.09,30.99,5.00,116.91,pigeonpeas
6.00,66.00,15.00,34.93,30.40,6.35,159.26,pigeonpeas
8.00,59.00,18.00,29.51,35.72,6.22,187.90,pigeonpeas
2.00,67.00,18.00,34.52,47.53,5.92,129.01,pigeonpeas
1.00,76.00,17.00,28.43,52.10,6.01,147.04,pigeonpeas
16.00,73.00,19.00,18.42,34.81,4.68,163.27,pigeonpeas
23.00,75.00,25.00,31.08,47.20,7.08,91.31,pigeonpeas
32.00,70.00,20.00,20.89,46.25,6.21,195.57,pigeonpeas
28.00,59.00,22.00,30.91,52.80,7.05,170.99,pigeonpeas
5.00,62.00,23.00,27.93,66.45,4.72,145.37,pigeonpeas
36.00,67.00,25.00,35.95,36.53,6.42,136.05,pigeonpeas
1.00,66.00,23.00,19.54,56.93,4.80,173.17,pigeonpeas
24.00,73.00,20.00,19.64,32.32,4.61,176.41,pigeonpeas
17.00,67.00,18.00,31.22,56.47,5.61,129.20,pigeonpeas
5.00,55.00,18.00,33.51,45.71,7.32,126.67,pigeonpeas
5.00,56.00,24.00,24.81,45.01,5.02,188.49,pigeonpeas
37.00,77.00,17.00,36.21,31.95,5.62,191.07,pigeonpeas
13.00,73.00,20.00,30.50,35.49,5.39,162.59,pigeonpeas
6.00,63.00,23.00,26.02,49.95,5.91,160.33,pigeonpeas
16.00,77.00,22.00,31.48,35.64,6.57,100.55,pigeonpeas
25.00,64.00,20.00,33.15,32.46,4.81,105.04,pigeonpeas
34.00,75.00,24.00,23.50,51.29,4.76,192.30,pigeonpeas
20.00,77.00,23.00,34.87,38.84,5.18,148.25,pigeonpeas
35.00,80.00,25.00,28.09,44.93,4.90,197.11,pigeonpeas
14.00,75.00,24.00,24.55,57.34,6.44,118.36,pigeonpeas
36.00,80.00,21.00,33.65,48.41,7.07,100.47,pigeonpeas
7.00,77.00,18.00,20.56,60.55,6.66,191.09,pigeonpeas
29.00,78.00,25.00,19.96,59.33,5.98,195.79,pigeonpeas
30.00,60.00,21.00,28.88,62.49,5.46,182.27,pigeonpeas
20.00,74.00,16.00,36.04,43.61,4.76,159.89,pigeonpeas
19.00,57.00,23.00,23.67,47.29,7.34,141.13,pigeonpeas
3.00,60.00,19.00,25.75,40.72,4.82,100.78,pigeonpeas
5.00,77.00,19.00,31.09,66.69,6.24,175.93,pigeonpeas
5.00,68.00,20.00,18.73,61.33,5.00,139.87,pigeonpeas
37.00,73.00,21.00,29.50,63.47,5.56,189.52,pigeonpeas
9.00,59.00,24.00,20.44,39.37,4.75,137.23,pigeonpeas
20.00,72.00,15.00,36.00,56.01,7.31,134.86,pigeonpeas
31.00,56.00,23.00,31.47,35.39,5.66,174.57,pigeonpeas
0.00,70.00,21.00,36.30,56.03,4.67,101.61,pigeonpeas
21.00,74.00,15.00,29.49,67.11,6.47,153.25,pigeonpeas
13.00,67.00,18.00,30.58,34.76,5.38,177.58,pigeonpeas
27.00,74.00,20.00,24.69,59.97,5.86,91.96,pigeonpeas
29.00,72.00,24.00,23.17,36.68,6.96,162.59,pigeonpeas
5.00,68.00,20.00,19.04,33.11,6.12,155.37,pigeonpeas
39.00,57.00,19.00,29.32,45.93,6.42,165.41,pigeonpeas
22.00,62.00,16.00,34.65,54.32,4.83,180.90,pigeonpeas
18.00,55.00,23.00,22.00,56.31,6.99,136.83,pigeonpeas
39.00,77.00,21.00,23.00,60.24,4.60,159.69,pigeonpeas
13.00,75.00,20.00,30.56,35.29,6.98,178.90,pigeonpeas
27.00,71.00,24.00,31.46,48.18,7.06,165.41,pigeonpeas
26.00,64.00,22.00,25.95,40.58,5.17,109.18,pigeonpeas
23.00,55.00,16.00,21.01,69.69,5.11,185.20,pigeonpeas
4.00,69.00,19.00,19.25,47.70,5.37,149.06,pigeonpeas
20.00,67.00,19.00,19.24,50.54,5.67,180.65,pigeonpeas
7.00,74.00,17.00,22.47,62.57,5.67,96.75,pigeonpeas
17.00,64.00,18.00,36.75,58.26,6.08,124.60,pigeonpeas
35.00,71.00,17.00,29.89,66.35,6.93,198.14,pigeonpeas
11.00,72.00,22.00,29.38,44.82,6.84,172.40,pigeonpeas
20.00,60.00,22.00,29.65,42.90,6.88,186.92,pigeonpeas
10.00,71.00,18.00,19.54,66.35,6.15,173.11,pigeonpeas
33.00,61.00,24.00,20.05,48.94,4.57,122.46,pigeonpeas
3.00,49.00,18.00,27.91,64.71,3.69,32.68,mothbeans
22.00,59.00,23.00,27.32,51.28,4.37,36.50,mothbeans
36.00,58.00,25.00,28.66,59.32,8.40,36.93,mothbeans
4.00,43.00,18.00,29.03,61.09,8.84,72.98,mothbeans
29.00,54.00,16.00,27.78,54.65,8.15,32.05,mothbeans
32.00,43.00,22.00,32.00,54.11,5.27,71.63,mothbeans
14.00,55.00,15.00,27.34,55.28,8.05,73.45,mothbeans
5.00,35.00,20.00,28.93,53.57,9.68,66.36,mothbeans
25.00,57.00,24.00,27.65,58.60,6.97,36.94,mothbeans
11.00,53.00,24.00,28.52,55.77,7.39,61.33,mothbeans
40.00,49.00,17.00,31.02,45.89,6.69,53.57,mothbeans
38.00,56.00,25.00,25.74,45.38,7.88,67.43,mothbeans
27.00,43.00,23.00,31.70,56.85,5.88,44.94,mothbeans
24.00,38.00,22.00,24.48,58.52,8.20,34.97,mothbeans
23.00,45.00,21.00,31.47,51.80,8.99,74.44,mothbeans
29.00,57.00,20.00,25.61,50.73,5.88,53.39,mothbeans
31.00,35.00,23.00,30.30,47.18,7.71,68.04,mothbeans
0.00,55.00,25.00,28.17,43.67,4.52,45.78,mothbeans
7.00,45.00,22.00,25.51,44.83,9.93,74.33,mothbeans
17.00,58.00,25.00,31.13,43.59,6.46,32.77,mothbeans
11.00,44.00,17.00,26.34,55.59,8.02,35.11,mothbeans
22.00,49.00,22.00,28.23,61.56,3.71,72.67,mothbeans
9.00,51.00,19.00,27.04,49.33,5.49,48.25,mothbeans
28.00,48.00,15.00,25.16,55.25,9.25,40.90,mothbeans
26.00,50.00,19.00,27.32,51.67,6.01,32.56,mothbeans
36.00,56.00,20.00,25.41,49.66,7.44,31.87,mothbeans
8.00,60.00,18.00,31.22,46.02,3.81,53.12,mothbeans
24.00,37.00,21.00,30.57,58.23,5.82,62.75,mothbeans
22.00,43.00,24.00,25.43,53.22,4.52,46.19,mothbeans
36.00,43.00,24.00,27.09,43.65,3.51,41.54,mothbeans
22.00,44.00,24.00,24.31,56.33,6.03,59.00,mothbeans
17.00,43.00,22.00,30.06,45.90,5.50,41.06,mothbeans
8.00,45.00,15.00,28.10,60.98,4.61,33.84,mothbeans
7.00,56.00,23.00,26.34,40.01,5.55,55.50,mothbeans
36.00,57.00,16.00,28.61,57.14,8.29,57.03,mothbeans
11.00,45.00,19.00,28.70,44.36,3.83,44.12,mothbeans
6.00,36.00,22.00,24.22,59.79,8.87,42.25,mothbeans
17.00,57.00,20.00,28.51,45.20,3.79,66.18,mothbeans
4.00,47.00,20.00,25.98,64.96,4.19,72.19,mothbeans
9.00,49.00,16.00,30.88,41.37,7.66,55.05,mothbeans
25.00,51.00,24.00,25.50,61.67,9.39,65.08,mothbeans
36.00,44.00,21.00,25.13,51.33,4.52,38.49,mothbeans
21.00,38.00,20.00,27.11,63.57,5.79,62.20,mothbeans
37.00,57.00,20.00,31.10,44.82,7.35,70.80,mothbeans
32.00,48.00,18.00,26.46,56.40,5.99,64.16,mothbeans
29.00,44.00,20.00,30.04,63.56,8.62,31.83,mothbeans
25.00,51.00,18.00,27.78,54.82,9.46,50.28,mothbeans
10.00,44.00,24.00,30.99,43.02,8.03,58.28,mothbeans
23.00,35.00,18.00,26.49,47.37,5.41,36.99,mothbeans
9.00,60.00,23.00,31.97,57.17,6.28,64.26,mothbeans
3.00,58.00,21.00,25.36,46.83,9.16,55.61,mothbeans
22.00,42.00,22.00,25.54,56.97,7.89,48.47,mothbeans
12.00,39.00,21.00,28.99,62.86,8.18,70.47,mothbeans
39.00,36.00,22.00,29.34,60.50,9.07,34.03,mothbeans
32.00,41.00,16.00,28.64,61.39,7.70,68.55,mothbeans
30.00,41.00,15.00,24.83,44.17,5.89,52.08,mothbeans
19.00,36.00,22.00,25.45,58.55,6.16,57.05,mothbeans
4.00,46.00,15.00,31.01,62.40,3.50,63.77,mothbeans
21.00,39.00,20.00,27.06,52.30,7.39,60.75,mothbeans
35.00,57.00,25.00,27.10,42.26,8.34,71.13,mothbeans
22.00,55.00,24.00,28.57,57.31,8.66,64.53,mothbeans
35.00,51.00,17.00,28.80,49.84,3.56,40.86,mothbeans
17.00,56.00,17.00,27.94,45.41,5.96,69.66,mothbeans
28.00,57.00,17.00,30.48,61.58,9.42,61.87,mothbeans
22.00,36.00,16.00,30.58,50.77,8.18,64.59,mothbeans
11.00,41.00,19.00,26.86,41.81,5.13,44.14,mothbeans
38.00,38.00,18.00,26.31,61.19,6.29,35.73,mothbeans
23.00,37.00,24.00,28.78,44.23,7.99,33.96,mothbeans
25.00,35.00,20.00,28.90,43.35,8.92,71.90,mothbeans
40.00,45.00,20.00,29.38,57.70,6.88,38.34,mothbeans
23.00,58.00,19.00,24.17,58.25,5.24,59.19,mothbeans
2.00,56.00,23.00,26.65,59.79,7.55,36.92,mothbeans
3.00,56.00,17.00,28.20,53.51,8.71,52.14,mothbeans
26.00,51.00,25.00,28.76,52.63,7.79,55.22,mothbeans
39.00,42.00,20.00,29.35,61.25,8.06,40.83,mothbeans
27.00,59.00,20.00,28.01,52.61,4.40,36.01,mothbeans
24.00,45.00,19.00,26.86,48.82,5.95,34.74,mothbeans
7.00,40.00,17.00,31.21,40.93,8.53,53.79,mothbeans
15.00,45.00,23.00,24.20,61.43,7.22,46.02,mothbeans
26.00,52.00,23.00,29.99,49.60,4.93,52.93,mothbeans
20.00,45.00,16.00,29.94,54.62,4.63,45.44,mothbeans
34.00,54.00,24.00,31.21,41.56,5.03,68.80,mothbeans
19.00,51.00,25.00,26.80,48.24,3.53,43.88,mothbeans
29.00,41.00,21.00,31.49,62.85,8.87,64.57,mothbeans
20.00,50.00,22.00,31.00,46.43,9.41,38.32,mothbeans
11.00,40.00,23.00,29.61,63.05,5.80,50.20,mothbeans
15.00,54.00,15.00,29.98,57.03,8.35,44.86,mothbeans
35.00,55.00,22.00,30.89,52.63,8.63,55.52,mothbeans
9.00,59.00,25.00,30.39,60.16,7.70,35.37,mothbeans
40.00,45.00,18.00,30.44,55.21,5.26,30.92,mothbeans
35.00,38.00,19.00,25.33,63.18,9.11,32.71,mothbeans
14.00,58.00,17.00,30.54,59.97,4.61,33.49,mothbeans
40.00,55.00,18.00,30.38,40.59,7.12,47.95,mothbeans
18.00,36.00,23.00,24.02,53.77,7.21,35.03,mothbeans
35.00,52.00,15.00,28.70,61.15,9.94,65.68,mothbeans
4.00,59.00,22.00,29.34,49.00,8.91,42.44,mothbeans
22.00,51.00,16.00,27.97,61.35,8.64,70.10,mothbeans
33.00,47.00,17.00,24.87,48.28,8.62,63.92,mothbeans
2.00,51.00,17.00,25.88,45.96,5.84,38.53,mothbeans
16.00,51.00,21.00,31.02,49.98,3.53,32.81,mothbeans
19.00,55.00,20.00,27.43,87.81,7.19,54.73,mungbean
8.00,54.00,20.00,28.33,80.77,7.03,38.80,mungbean
36.00,55.00,20.00,27.01,84.34,6.64,55.30,mungbean
10.00,56.00,16.00,28.17,81.05,6.83,36.36,mungbean
22.00,56.00,17.00,29.88,87.33,6.89,44.75,mungbean
9.00,57.00,24.00,29.89,89.72,7.17,42.99,mungbean
34.00,59.00,23.00,28.56,83.25,6.94,56.48,mungbean
31.00,51.00,25.00,27.54,85.57,7.20,53.02,mungbean
0.00,49.00,18.00,29.68,87.94,6.99,41.82,mungbean
21.00,39.00,20.00,28.14,82.12,7.06,46.76,mungbean
28.00,35.00,22.00,29.53,86.73,7.16,59.87,mungbean
17.00,52.00,17.00,27.88,86.45,6.36,44.64,mungbean
24.00,42.00,23.00,28.22,82.36,6.43,44.01,mungbean
28.00,46.00,16.00,29.01,84.96,6.66,45.91,mungbean
21.00,38.00,21.00,29.76,86.45,6.64,37.55,mungbean
34.00,60.00,25.00,29.78,85.17,6.79,40.78,mungbean
19.00,53.00,22.00,27.86,80.45,6.85,42.83,mungbean
31.00,58.00,15.00,27.11,84.97,7.12,51.53,mungbean
19.00,35.00,24.00,27.11,83.64,6.88,49.12,mungbean
24.00,53.00,17.00,28.95,89.08,6.42,57.66,mungbean
13.00,47.00,20.00,29.22,87.94,6.54,43.14,mungbean
31.00,53.00,16.00,28.74,85.82,6.45,48.55,mungbean
28.00,45.00,23.00,29.65,80.30,6.49,56.76,mungbean
31.00,37.00,21.00,27.24,86.40,6.71,37.31,mungbean
33.00,60.00,15.00,28.95,81.67,6.51,56.51,mungbean
34.00,45.00,21.00,28.19,82.61,6.29,37.01,mungbean
13.00,57.00,25.00,28.30,86.21,6.86,50.47,mungbean
33.00,57.00,17.00,27.90,88.72,6.78,57.80,mungbean
32.00,57.00,22.00,28.69,87.50,6.77,44.57,mungbean
23.00,59.00,25.00,27.83,88.73,6.32,56.69,mungbean
35.00,41.00,18.00,28.71,81.59,6.71,59.87,mungbean
6.00,48.00,24.00,28.64,84.61,6.79,48.48,mungbean
29.00,36.00,25.00,28.29,88.44,7.13,48.57,mungbean
4.00,36.00,22.00,27.61,86.13,7.01,43.80,mungbean
10.00,59.00,22.00,28.61,86.99,7.16,36.95,mungbean
14.00,48.00,21.00,29.25,84.80,6.99,53.43,mungbean
8.00,50.00,21.00,28.63,89.11,6.22,50.50,mungbean
20.00,40.00,15.00,29.57,88.08,7.20,45.04,mungbean
36.00,43.00,22.00,27.83,87.17,6.39,58.37,mungbean
14.00,57.00,15.00,29.88,83.15,6.62,40.12,mungbean
11.00,60.00,23.00,27.34,88.50,7.03,51.10,mungbean
10.00,59.00,15.00,29.83,89.30,6.32,58.87,mungbean
7.00,60.00,25.00,28.28,82.76,6.40,56.05,mungbean
2.00,47.00,15.00,29.87,85.99,6.40,58.41,mungbean
20.00,45.00,22.00,29.59,89.99,6.90,54.96,mungbean
2.00,39.00,15.00,28.07,82.91,6.48,49.62,mungbean
27.00,40.00,24.00,27.84,90.00,7.06,52.85,mungbean
35.00,48.00,15.00,27.11,87.45,6.98,55.04,mungbean
4.00,59.00,25.00,27.69,81.94,6.23,54.62,mungbean
1.00,48.00,24.00,29.35,85.60,6.23,59.04,mungbean
36.00,43.00,21.00,28.36,84.86,7.14,52.93,mungbean
11.00,46.00,24.00,27.65,89.81,6.46,56.53,mungbean
34.00,47.00,19.00,27.31,85.45,6.57,53.15,mungbean
21.00,44.00,18.00,27.07,86.90,7.13,50.47,mungbean
17.00,58.00,20.00,28.07,85.92,6.43,39.24,mungbean
25.00,40.00,21.00,27.73,81.14,6.25,44.18,mungbean
2.00,38.00,18.00,27.54,89.93,6.62,45.49,mungbean
9.00,48.00,20.00,29.66,84.28,6.38,56.10,mungbean
37.00,49.00,25.00,29.91,85.85,6.42,41.39,mungbean
36.00,38.00,15.00,28.36,87.60,6.32,58.00,mungbean
40.00,58.00,15.00,29.46,87.61,6.98,43.15,mungbean
30.00,44.00,16.00,29.73,82.89,6.44,50.92,mungbean
1.00,59.00,23.00,27.47,87.18,7.18,43.78,mungbean
9.00,48.00,22.00,27.77,87.10,6.40,49.51,mungbean
14.00,41.00,17.00,29.13,88.48,7.09,36.45,mungbean
35.00,52.00,19.00,27.11,89.90,6.70,37.46,mungbean
31.00,48.00,17.00,28.88,86.94,6.59,53.80,mungbean
4.00,41.00,20.00,28.15,83.80,6.65,37.45,mungbean
30.00,37.00,25.00,29.89,80.14,7.12,54.80,mungbean
9.00,35.00,20.00,27.42,80.98,6.91,40.53,mungbean
20.00,41.00,20.00,29.27,89.49,7.07,50.92,mungbean
37.00,50.00,23.00,29.65,88.49,6.53,56.02,mungbean
34.00,35.00,21.00,28.45,82.68,6.68,58.19,mungbean
14.00,37.00,15.00,27.96,83.98,6.58,48.94,mungbean
23.00,39.00,22.00,29.26,81.98,6.86,42.02,mungbean
5.00,45.00,21.00,28.36,88.01,6.49,43.05,mungbean
22.00,37.00,20.00,27.63,86.49,6.61,39.26,mungbean
40.00,51.00,17.00,28.66,86.12,6.86,50.02,mungbean
27.00,56.00,20.00,29.21,87.11,6.42,51.54,mungbean
31.00,40.00,22.00,29.41,86.16,6.37,53.35,mungbean
38.00,36.00,21.00,28.03,84.88,6.56,36.12,mungbean
6.00,37.00,17.00,28.09,80.35,6.76,38.14,mungbean
6.00,47.00,18.00,29.16,80.28,6.72,40.17,mungbean
24.00,44.00,17.00,29.86,80.03,6.67,50.66,mungbean
25.00,59.00,19.00,29.07,83.69,6.63,43.95,mungbean
32.00,56.00,21.00,27.39,88.67,6.70,58.30,mungbean
8.00,45.00,18.00,27.93,85.42,7.01,43.25,mungbean
19.00,39.00,17.00,29.28,81.80,6.89,44.47,mungbean
39.00,37.00,15.00,29.00,83.79,6.82,59.84,mungbean
33.00,37.00,19.00,27.93,86.55,7.18,43.48,mungbean
26.00,54.00,17.00,28.55,88.96,6.27,49.49,mungbean
21.00,51.00,15.00,29.36,89.19,6.68,48.30,mungbean
22.00,54.00,20.00,28.56,83.64,6.69,41.01,mungbean
29.00,45.00,16.00,28.44,87.91,6.58,43.12,mungbean
4.00,40.00,21.00,28.80,80.46,6.73,44.30,mungbean
10.00,37.00,22.00,28.73,89.13,7.07,58.53,mungbean
4.00,44.00,19.00,27.96,83.53,6.92,43.26,mungbean
20.00,45.00,17.00,28.17,83.70,6.77,37.25,mungbean
23.00,45.00,23.00,28.78,86.69,6.98,56.12,mungbean
25.00,48.00,21.00,28.44,83.49,6.27,52.55,mungbean
56.00,79.00,15.00,29.48,63.20,7.45,71.89,blackgram
25.00,62.00,21.00,26.73,68.14,7.04,67.15,blackgram
42.00,61.00,22.00,26.27,62.29,7.42,70.23,blackgram
42.00,73.00,25.00,34.04,67.21,6.50,73.24,blackgram
44.00,58.00,18.00,28.04,65.07,6.81,72.50,blackgram
50.00,55.00,16.00,28.81,65.34,7.58,62.26,blackgram
35.00,72.00,21.00,34.04,64.29,7.74,66.86,blackgram
30.00,64.00,20.00,33.86,61.57,6.57,68.02,blackgram
27.00,64.00,21.00,32.84,68.68,7.54,73.67,blackgram
50.00,74.00,17.00,27.10,63.36,6.54,73.85,blackgram
39.00,73.00,24.00,25.66,61.18,7.22,69.29,blackgram
57.00,67.00,25.00,32.35,66.61,7.55,64.56,blackgram
52.00,63.00,19.00,29.59,68.32,6.93,67.53,blackgram
55.00,66.00,22.00,30.91,68.79,7.75,66.64,blackgram
51.00,56.00,18.00,28.13,64.21,6.71,70.86,blackgram
36.00,66.00,15.00,30.09,69.35,6.67,67.14,blackgram
59.00,55.00,19.00,31.74,62.51,7.33,68.97,blackgram
50.00,58.00,23.00,27.81,62.50,7.60,69.76,blackgram
30.00,65.00,25.00,32.89,64.59,7.71,71.51,blackgram
20.00,62.00,18.00,29.36,64.99,7.37,61.91,blackgram
58.00,71.00,15.00,27.83,67.59,6.92,74.01,blackgram
25.00,71.00,24.00,28.50,60.45,7.19,74.92,blackgram
52.00,71.00,16.00,27.74,68.54,7.08,71.79,blackgram
40.00,63.00,18.00,30.42,67.66,6.74,63.02,blackgram
20.00,60.00,25.00,27.33,69.09,6.73,61.19,blackgram
48.00,61.00,21.00,30.28,61.69,6.63,65.63,blackgram
49.00,68.00,22.00,28.57,61.53,7.13,63.50,blackgram
48.00,62.00,15.00,25.37,66.64,7.54,65.82,blackgram
32.00,66.00,17.00,34.95,65.27,7.16,70.14,blackgram
21.00,63.00,22.00,25.10,67.73,6.86,74.62,blackgram
20.00,72.00,19.00,32.48,64.35,7.40,65.82,blackgram
25.00,65.00,21.00,33.86,68.59,6.88,69.24,blackgram
41.00,78.00,21.00,25.20,60.37,6.58,70.89,blackgram
53.00,67.00,17.00,31.78,69.02,7.30,61.47,blackgram
39.00,60.00,21.00,34.90,63.60,6.97,64.73,blackgram
25.00,76.00,17.00,31.74,68.64,7.24,62.31,blackgram
21.00,78.00,19.00,27.16,66.76,6.92,69.85,blackgram
57.00,60.00,17.00,26.24,67.89,7.50,73.59,blackgram
56.00,75.00,15.00,30.20,60.07,7.15,66.37,blackgram
49.00,72.00,15.00,31.56,67.84,7.14,74.87,blackgram
24.00,80.00,19.00,29.68,69.09,6.81,65.66,blackgram
49.00,76.00,18.00,27.05,67.70,7.39,60.47,blackgram
28.00,68.00,19.00,34.64,61.39,7.70,72.43,blackgram
55.00,78.00,21.00,33.39,62.94,6.60,63.57,blackgram
50.00,64.00,25.00,28.84,63.37,6.73,70.25,blackgram
34.00,80.00,19.00,31.49,63.06,6.52,71.48,blackgram
20.00,68.00,23.00,25.55,63.95,7.71,63.18,blackgram
55.00,67.00,16.00,34.37,69.69,6.60,70.27,blackgram
23.00,70.00,15.00,34.60,63.11,7.40,60.42,blackgram
53.00,74.00,15.00,29.43,64.94,7.52,72.18,blackgram
26.00,67.00,16.00,29.11,67.91,7.18,67.83,blackgram
33.00,80.00,22.00,28.57,65.72,6.59,70.09,blackgram
37.00,79.00,19.00,27.54,69.35,7.14,69.41,blackgram
33.00,75.00,21.00,33.05,68.94,6.69,62.30,blackgram
22.00,55.00,20.00,33.95,69.96,7.42,61.16,blackgram
20.00,68.00,17.00,30.12,60.12,6.58,71.73,blackgram
43.00,68.00,20.00,29.58,66.18,7.50,69.44,blackgram
44.00,76.00,22.00,27.26,68.01,7.78,68.92,blackgram
34.00,60.00,16.00,31.36,64.25,7.32,63.86,blackgram
21.00,72.00,17.00,31.52,66.56,7.58,61.71,blackgram
25.00,68.00,19.00,29.40,64.26,7.11,67.48,blackgram
41.00,62.00,15.00,29.38,64.15,7.36,65.24,blackgram
28.00,65.00,23.00,28.39,61.89,7.41,74.24,blackgram
35.00,64.00,15.00,28.47,63.54,6.50,69.53,blackgram
52.00,58.00,16.00,30.64,61.15,7.17,71.37,blackgram
58.00,75.00,25.00,25.26,61.37,7.26,68.65,blackgram
34.00,66.00,19.00,32.97,60.18,7.59,73.45,blackgram
52.00,70.00,16.00,33.67,66.60,7.53,67.33,blackgram
23.00,57.00,19.00,32.84,68.00,7.25,73.40,blackgram
42.00,58.00,25.00,27.46,62.90,6.51,69.46,blackgram
37.00,62.00,17.00,25.69,69.84,7.12,74.62,blackgram
44.00,75.00,22.00,30.03,64.15,7.57,71.21,blackgram
21.00,80.00,20.00,28.21,68.27,7.35,64.33,blackgram
56.00,76.00,16.00,28.27,61.19,7.51,63.30,blackgram
29.00,76.00,15.00,28.54,64.20,7.03,69.69,blackgram
43.00,61.00,20.00,26.87,61.61,6.80,63.52,blackgram
55.00,60.00,15.00,32.80,68.78,7.16,64.11,blackgram
44.00,63.00,15.00,26.42,64.51,7.34,63.47,blackgram
29.00,67.00,21.00,29.79,63.39,6.62,63.02,blackgram
47.00,63.00,16.00,27.44,67.10,6.66,72.51,blackgram
40.00,68.00,17.00,34.13,65.15,7.73,70.41,blackgram
58.00,61.00,15.00,30.95,64.23,7.40,62.79,blackgram
41.00,74.00,18.00,28.76,61.03,6.60,73.38,blackgram
58.00,79.00,17.00,27.25,66.10,7.04,62.32,blackgram
27.00,62.00,24.00,28.63,66.77,7.35,62.27,blackgram
27.00,60.00,17.00,26.42,63.65,7.03,64.42,blackgram
52.00,65.00,20.00,32.82,66.16,6.81,68.84,blackgram
44.00,55.00,25.00,29.63,65.91,7.42,71.16,blackgram
21.00,62.00,24.00,33.49,62.73,6.85,65.45,blackgram
60.00,59.00,22.00,31.87,66.74,7.19,74.22,blackgram
33.00,77.00,21.00,30.33,65.63,7.01,71.65,blackgram
59.00,58.00,17.00,28.55,66.31,7.37,62.83,blackgram
29.00,63.00,17.00,30.03,67.89,7.26,66.47,blackgram
59.00,63.00,18.00,31.66,60.13,6.53,66.69,blackgram
29.00,70.00,15.00,30.33,63.55,6.87,74.17,blackgram
58.00,73.00,16.00,33.37,65.68,6.87,64.90,blackgram
55.00,77.00,22.00,31.43,62.99,7.76,64.78,blackgram
42.00,79.00,23.00,27.72,63.29,6.78,68.57,blackgram
44.00,77.00,21.00,32.64,61.30,7.33,61.84,blackgram
38.00,62.00,25.00,32.75,67.78,7.45,63.38,blackgram
32.00,76.00,15.00,28.05,63.50,7.60,43.36,lentil
13.00,61.00,22.00,19.44,63.28,7.73,46.83,lentil
38.00,60.00,20.00,29.85,60.64,7.49,46.80,lentil
11.00,74.00,17.00,21.36,69.92,6.63,46.64,lentil
37.00,71.00,16.00,26.29,68.52,7.32,46.14,lentil
29.00,71.00,18.00,22.17,62.14,6.41,53.47,lentil
2.00,72.00,18.00,26.58,60.98,7.84,50.89,lentil
6.00,59.00,21.00,26.59,66.14,6.14,50.91,lentil
13.00,64.00,20.00,19.13,62.58,6.59,36.47,lentil
8.00,58.00,17.00,28.75,69.16,7.29,35.15,lentil
6.00,77.00,20.00,25.79,60.28,6.06,49.14,lentil
2.00,75.00,22.00,23.89,61.79,6.66,52.56,lentil
3.00,69.00,23.00,28.67,63.19,7.30,42.96,lentil
27.00,80.00,24.00,28.42,61.77,7.82,49.02,lentil
39.00,78.00,15.00,21.35,62.60,5.93,41.78,lentil
40.00,79.00,17.00,21.13,63.19,6.40,38.72,lentil
37.00,62.00,22.00,24.02,61.62,7.40,49.78,lentil
31.00,60.00,24.00,25.40,65.86,7.72,51.92,lentil
22.00,67.00,22.00,29.03,64.49,7.48,54.94,lentil
3.00,78.00,18.00,20.21,68.65,6.89,50.90,lentil
4.00,80.00,16.00,29.20,68.02,7.44,44.93,lentil
13.00,61.00,24.00,18.30,69.69,7.63,49.39,lentil
12.00,66.00,20.00,27.41,63.42,7.34,44.43,lentil
4.00,61.00,21.00,24.84,60.09,6.75,48.78,lentil
9.00,60.00,21.00,29.94,67.31,7.52,40.37,lentil
18.00,66.00,22.00,25.88,67.55,6.35,47.90,lentil
32.00,56.00,18.00,20.05,65.84,7.14,46.05,lentil
6.00,72.00,15.00,22.99,66.71,7.67,54.49,lentil
15.00,77.00,20.00,25.13,66.93,7.40,49.04,lentil
0.00,65.00,24.00,28.50,62.45,7.84,53.15,lentil
30.00,79.00,22.00,18.29,69.49,6.25,48.60,lentil
3.00,63.00,16.00,24.38,61.18,6.87,53.14,lentil
2.00,78.00,23.00,21.32,66.44,7.32,45.43,lentil
10.00,78.00,18.00,18.54,62.71,6.30,44.08,lentil
14.00,67.00,25.00,25.29,60.86,7.24,49.37,lentil
39.00,65.00,23.00,25.43,69.13,7.69,41.03,lentil
19.00,72.00,15.00,28.84,69.76,6.89,44.09,lentil
18.00,57.00,21.00,27.38,63.94,6.16,49.47,lentil
31.00,58.00,15.00,28.32,60.19,6.17,45.37,lentil
28.00,58.00,25.00,27.48,62.05,6.86,37.81,lentil
5.00,65.00,19.00,18.28,68.10,6.98,48.80,lentil
